측정일자,측정시간,지역,지역명,도로명,시작점,종점,기온,습도,재비산먼지 평균농도,오염범례
2021-07-07,12:55,경기,화성시,,,경기도 화성시 병점동 501-12,27,100,15,매우좋음
2021-07-07,13:06,경기,화성시,,,경기도 화성시 진안동 600-1,28,100,187,나쁨
2021-07-07,13:22,경기,화성시,,,경기도 화성시 반송동 233-3,28,100,27,매우좋음
2021-07-07,13:42,경기,화성시,동탄반석로,,경기도 화성시 반송동 289-2,29,98,18,매우좋음
2021-07-07,13:55,경기,화성시,동탄중앙로,경기도 화성시 반송동 264-3,경기도 화성시 영천동 164-4,29,96,28,매우좋음
2021-07-07,14:17,경기,화성시,동탄원천로,경기도 화성시 석우동 110,경기도 화성시 능동 1176,29,96,10,매우좋음
2021-07-07,14:27,경기,화성시,여울로,경기도 화성시 능동 1175,경기도 화성시 능동 1245,29,94,86,좋음
2021-07-07,14:36,경기,화성시,동탄공원로,경기도 화성시 반송동 244-1,경기도 화성시 반송동 110,29,94,15,매우좋음
,,,,,,,,,,
,,,,,,,28.29065744,,,
